report_table_number_state,table_2_urban_utility_scale_pv_gwh,table_2_urban_utility_scale_pv_gw,table_2_urban_utility_scale_pv_km2,table_3_rural_utility_scale_pv_gwh,table_3_rural_utility_scale_pv_gw,table_3_rural_utility_scale_pv_km2,table_4_rooftop_pv_gwh,table_4_rooftop_pv_gw,table_5_csp_gwh,table_5_csp_gw,table_5_csp_km2,table_6_onshore_wind_gwh,table_6_onshore_wind_gw,table_6_onshore_wind_km2,table_7_offshore_wind_gwh,table_7_offshore_wind_gw,table_7_offshore_wind_km2,table_8_biopower_solid_gwh,table_8_biopower_solid_gw,table_8_biopower_solid_bdt,table_8_biopower_gaseous_gwh,table_8_biopower_gaseous_gw,table_8_biopower_gaseous_tonnes_ch4,table_9_geothermal_hydrothermal_gwh,table_9_geothermal_hydrothermal_gw,table_10_egs_geothermal_gwh,table_10_egs_geothermal_gw,table_11_hydropower_gwh,table_11_hydropower_gw,table_11_hydropower_count_of_sites
Maryland,28551.295007831006,18.17973043413727,378.7443840445265,585949.0443082484,373.09676044400004,7772.849176000001,14849.761277254089,12.738132429619858,0,0,0,3631.7343779999997,1.4829,296.58,200852.09634,51.90935,10381.869999999999,2102.1494999999995,0.2666348934550989,1911045,1226.537991,0.15557305821917808,260965.52999999997,0,0,86649.03297821467,10.990491245331572,814.0151975030399,0.185848218608,491
Massachusetts,17469.59746115,10.958902517537156,228.31046911535725,82204.76004590902,51.56810016800001,1074.3354199999999,11722.508344583031,10.316376858715685,0,0,0,2827.3132140000002,1.0279999999999998,205.6,799344.2709599999,184.07629999999997,36815.26,1045.3388,0.13258990360223238,950308,1103.615037,0.13998161301369863,234811.71000000002,0,0,92227.28100264334,11.698031583291701,1196.7206488346399,0.273223892428,560
Michigan,50845.472707248,33.56994873554168,699.3739319904511,5215639.874324159,3443.5467679040003,71740.55766399999,23527.702408022462,21.52021240681648,0,0,0,143907.821902,59.04210000000003,11808.419999999998,1739800.633032,422.57659999999987,84515.32000000004,9358.0377,1.1869657153729074,8507307,2539.3293950000007,0.322086427574835,540282.85,0,0,457850.2902741503,58.07334985718876,1180.9494752355595,0.269623167862,1942
Minnesota,33370.04821996402,20.128432495636268,419.34234365908895,10792814.439808492,6510.102576448001,135627.137012,14321.997542811485,12.486246921396814,0,0,0,1428524.6829739998,489.2706000000002,97854.12000000001,100454.82695999999,29.2147,5842.94,20361.757900000004,2.582668429731101,18510689,1029.650479,0.13060001002029425,219074.57000000007,0,0,369784.57734152995,46.90316810521733,1254.8769520586402,0.286501587228,1391
Mississippi,26366.248913730014,15.243352931936286,317.5698527486726,4981252.477869487,2879.8555991080007,59996.99164799998,8614.255361690142,6.968441215037131,0,0,0,0,0,0,10172.121198,3.2129499999999998,642.59,14209.9254,1.8023751141552513,12918114,1076.66096,0.13656278031456112,229076.80000000002,0,0,559056.0887641036,70.91020912786404,2211.1684968570003,0.5048329901499998,1536
Missouri,30549.465570785003,18.075704986190406,376.57718721230015,5335268.979446405,3156.806389072,65766.79977200001,16159.778139261929,13.08099937370375,0,0,0,689519.235088,274.3551,54871.01999999998,,,,11837.659899999995,1.5014789320142055,10761509,2147.8551149999994,0.2724321556316591,456990.4500000001,0,0,835444.600538273,105.96709798812599,7198.497709369802,1.6434926277100002,5089
Montana,11370.838417701,6.114700799999999,127.38959999999997,8187341.332649668,4402.7661601559985,91724.29500000003,2194.221916252487,1.8768159101792785,1540287.5699999998,557.2239766,16939.473300000005,2746271.582986,944.0045999999998,188800.92,,,,4924.7902,0.6246562912227295,4477082,147.225996,0.01867402283105023,31324.68,6547.7907909775,0.8306999988556301,1647303.7223557334,208.94263347990005,14546.556937708441,3.321131720938001,6859
Nebraska,12954.292927903,6.807815830278064,141.82949646412624,9266756.73118327,4869.920228320001,101456.671424,5336.699659886031,4.2284143193012,4846929.2531,1753.4551320999994,53304.60969999999,3011252.6008220017,917.9987000000006,183599.73999999987,,,,16271.995300000004,2.06392634449518,14792723,750.730577,0.09522204173008628,159729.90999999997,0,0,927996.4555645636,117.706298270508,3142.175664886561,0.7173917043120001,2880
Nevada,24893.765470609997,10.784768133679128,224.68266945164902,8614454.425890906,3732.0546664099993,77751.138884,10767.202224457104,7.136816243924311,8295752.743,2557.9090842000005,77759.814,17709.298344,7.247100000000001,1449.42,,,,288.8743,0.03664057584982243,262613,325.468749,0.041282185312024364,69248.67,45320.974986464,5.748700023652,1262174.6571520965,160.093183301852,845.96374453464,0.19314240742799998,1489
New Hampshire,3790.2232491620002,2.350721975830073,48.97337449645989,57363.99001959164,35.5775328,741.1985999999999,2298.5954518982203,2.0620075047951154,0,0,0,5706.480372000001,2.1353999999999997,427.08,14477.543814,3.456,691.1999999999999,953.8682999999999,0.12098786149162863,867153,389.582107,0.04941427029426687,82889.81,0,0,104314.41545646667,13.231153660136,1740.9138414190797,0.397468913566,810
